Category,CEIRatingWeb,OrgCommonName,BrandName,CustomerFeedbackPhone,CustomerFeedbackEmail,CustomerFeedbackWebURL,OrgID,CategoryID,Non-responder
Apparel & Accessories,100,Abercrombie & Fitch,Gilly Hicks; Hollister,614-283-6500,,,5013,1219,
Apparel & Accessories,100,Bon-Ton Stores,Carson Pirie Scott; Elder-Beerman,,,http://www.bonton.com/content/contact-us/brandcontent.html,52172,1219,
Apparel & Accessories,100,Gap,Athleta; Banana Republic; Old Navy; Piperlime,650-952-4400,,,1254,1219,
Apparel & Accessories,100,J.C. Penney,Arizona Jean Co.; St. John's Bay; Worthington,972-431-1000,,http://www4.jcpenney.com/jcp/EmailUs.aspx?refpagename=CustomerService%252525252Easpx&refdeptid=&refcatid=&CmCatId=25278,1235,1219,
Apparel & Accessories,100,Levi Strauss,Dockers,,,http://www.levistrauss.com/about/helpcontact-us,1216,1219,
Apparel & Accessories,100,Liz Claiborne,Axcess; Juicy Couture; Kate Spade; Kensie; Lucky Brand Jeans; Mac & Jac; Mexx; Monet,,,http://www.lizclaiborneinc.com/web/guest/companycontact,8670,1219,
Apparel & Accessories,100,Macy's,Alfani; Bloomingdale's; Charter Club; I.N.C.; Martha Stewart Collection,212-494-3000,,,1181,1219,
Apparel & Accessories,100,Nike*,Cole Haan; Converse; Hurley; Umbro,800-344-6453,,,1247,1219,
Apparel & Accessories,100,Nordstrom,Faconnable,,,,1178,1219,
Apparel & Accessories,100,REI,Novara,,,http://www.rei.com/help/feedback/feedback.html,1229,1219,
Apparel & Accessories,100,Sears,Apostrophe; Covington; Joe Boxer; Lands' End; Structure,800-349-4358,,http://www.sears.com/shc/s/nb_10153_12608_NB_CSeMail?adCell=WF,1187,1219,
Apparel & Accessories,100,TJX,A.J.Wright; Marshalls; T.J.Maxx,508-390-1000,,,868,1219,
Apparel & Accessories,95,Kenneth Cole,Gentle Souls; Le Tigre; Unlisted,800-536-2653,,http://www.kennethcole.com/helpdesk/index.jsp?stillHaveQuestion=yes&subdisplay=contact&display=store,52576,1219,
Apparel & Accessories,95,Limited Brands,Henri Bendel; La Senza; Pink; Victoria's Secret,614-415-7000,,,1870,1219,
Apparel & Accessories,93,American Eagle,,,,http://www.ae.com/web/contact/,47674,1219,
Apparel & Accessories,93,Tiffany & Co.,,800-843-3269,,http://www.tiffany.com/Customer/Request/EmailCustSvr.aspx,43581,1219,
Apparel & Accessories,85,Target,C9 by Champion; Cherokee; Circo; Gilligan & O'Malley; Liz Lange; Merona; Mossimo; Utility; Xhilaration,800-440-0680,,,1153,1219,
Apparel & Accessories,83,Hanover Direct,International Male; Silhouettes; Undergear,,information@hanoverdirect.com,,55065,1219,
Apparel & Accessories,83,Jones Apparel,Anne Klein; Bandolino; Easy Spirit; Enzo Angiolini; Evan-Picone; Gloria Vanderbilt; Joan & David; Jones New York; Kasper; Napier; Nine West; Sam & Libby,212-642-3860,,,14482,1219,
Apparel & Accessories,78,L.L. Bean,,800-813-7309,llbean@llbean.com,http://www.llbean.com/customerService/contactUs/email_popup.html,4821,1219,
Apparel & Accessories,75,Brown Shoe,Aerosoles; Buster Brown,,,,52179,1219,
Apparel & Accessories,50,The Men's Wearhouse,K&G,,,http://www.menswearhouse.com/webapp/wcs/stores/servlet/ContactUs_-1_10601_10051_10721__#email,8671,1219,
Apparel & Accessories,30,Ann Taylor,Ann Taylor LOFT,800-342-5266,,http://www.anntaylor.com/custserv/contactus.jsp,1258,1219,X
Apparel & Accessories,30,Donna Karan,DKNY,,,http://www.donnakaran.com/pages/contact-us,1260,1219,X
Apparel & Accessories,30,Neiman Marcus,Bergdorf Goodman,888-888-4757,,http://www.neimanmarcus.com/store/service/contactus.jhtml,35548,1219,X
Apparel & Accessories,30,Polo Ralph Lauren,Club Monaco; Rugby,,,http://www.ralphlauren.com/helpdesk/index.jsp?display=store&subdisplay=contact&ab=footer_emailus,35625,1219,X
Apparel & Accessories,30,Saks,Off 5th; Saks Fifth Avenue,,,http://www.saksincorporated.com/contacts/contactus.asp,14639,1219,X
Apparel & Accessories,30,Timberland,,,,http://shop.timberland.com/helpdesk/contactCSR/index.jsp?display=store&subdisplay=trust,1175,1219,X
Apparel & Accessories,15,Adidas,Reebok,,consumer.relations@adidas.com,,4938,1219,X
Apparel & Accessories,15,Berkshire Hathaway,Fruit of the Loom; JERZEES; Russell Athletics; Spalding,,berkshire@berkshirehathaway.com,,4904,1219,X
Apparel & Accessories,15,Coach,,,,http://www.coach.com/online/handbags/ContactUsView?storeId=10551&catalogId=10051&LOC=BN,43045,1219,X
Apparel & Accessories,15,Foot Locker,Champs Sports; Eastbay; Footaction,,,http://www.footlocker.com/content/feedback.cfm?&,1020,1219,X
Apparel & Accessories,15,Phillips-Van Heusen,Arrow; Bass; Calvin Klein; IZOD; Tommy Hilfiger,,,http://www.pvh.com/contact.aspx,52311,1219,X
Apparel & Accessories,15,Ross Stores,,,,http://www.rossstores.com/cu.aspx,35535,1219,X
Apparel & Accessories,15,VF,Eagle Creek; Eastpak; JanSport; John Varvatos; Lee; Nautica; Seven for all Mankind; The North Face; Vans; Wrangler Jeans,336-424-6000,corporate_communications@vfc.com,http://www.vfc.com/contact,973,1219,X
Apparel & Accessories,15,Warnaco Group,Olga; Warners,,contactus@warnaco.com,,52397,1219,X
Apparel & Accessories,0,Burlington Coat Factory,,,,http://corporate.burlingtoncoatfactory.com/contact/contactus_corporate.shtml,52181,1219,X
Apparel & Accessories,0,Cabela's,,,,https://cabelas.custhelp.com/cgi-bin/cabelas.cfg/php/enduser/ask.php,52182,1219,X
Apparel & Accessories,0,Chico's,Soma; White House/Black Market,888-855-4986,customerservice@chicos.com,,54860,1219,X
Apparel & Accessories,0,Fossil,,,,https://www.fossil.com/webapp/wcs/stores/servlet/ContactUsView?langId=-1&storeId=12052&catalogId=10052&nav=custCareNav&krypto=Tjoe3w4LBQeEp3F%2BYXPMrQ,54460,1219,X
Apparel & Accessories,0,Guess?,,,,http://www.guess.com/#/contact,54947,1219,X
Apparel & Accessories,0,Hanesbrands,Bali; Champion; Hanes; L'eggs; Playtex,,,http://www.hanesbrands.com/hbi/templates/ContactUs/Default.aspx,54914,1219,X
Apparel & Accessories,0,Quiksilver,DC Shoes; Hawk; Leilani,714-889-2200,,http://www.quiksilverinc.com/contactus/contactus.aspx,52498,1219,X
Automotive,100,"AAA Northern California, Nevada and Utah",,,,,43507,1226,
Automotive,100,BP*,Castrol,,,,1776,1226,
Automotive,100,CarMax,,800-519-1511,,,43059,1226,
Automotive,100,Chrysler,Dodge; Jeep,800-247-9753,,,1227,1226,
Automotive,100,Clorox,Armor All; STP; Tuff Stuff,,,http://www.thecloroxcompany.com/contactus.html,1171,1226,
Automotive,100,Cox Enterprises*,AutoTrader.com; Manheim,,ContactUs@coxinc.com,,13516,1226,
Automotive,100,Ford,Lincoln; Mercury,,,https://secure.ford.com/footer/contact-ford/contact-us-email?contactMainTopic=WebsiteFeedback,1250,1226,
Automotive,100,GM,Buick; Cadillac; Chevrolet; GMC; OnStar,,,,1245,1226,
Automotive,100,Shell Oil*,Black Magic; Blue Coral; Fix-A-Flat; Jiffy Lube; Pennzoil; Quaker State; Rain-X,713-241-6161,,,1810,1226,
Automotive,100,Subaru,,,,https://www.subaru.com/shopping-tools/contact-us.html,105,1226,
Automotive,100,Toyota,Lexus*; Scion,800-331-4331,,,52030,1226,
Automotive,100,Volkswagen,Audi; Bentley; Bugatti; Lamborghini,800-822-8987,,,8661,1226,
Automotive,93,Ryder,,,,http://www.ryder.com/contactus_corp_gralinq.shtml,817,1226,
Automotive,80,Bridgestone,Firestone,,,http://www.bridgestonetire.com/Index_BS_EN.aspx?src=contact,13331,1226,
Automotive,50,Nissan,Infiniti,,,http://www.nissanusa.com/apps/contactus,43112,1226,
Automotive,33,Cooper Tire & Rubber,,,,http://www.coopertire.com/html/contactus.aspx,14771,1226,
Automotive,30,Advance Auto Parts,,,,http://shop.advanceautoparts.com/webapp/wcs/stores/servlet/content_contactus___,35550,1226,X
Automotive,25,AutoZone,Duralast; Valucraft,,,https://www.autozone.com/autozone/contactus/generalComments.jsp;jsessionid=FD543E8264A6A3403F131650BFB6E980.diyprod4-b2c7?landingPageCategory=inOurSto,14644,1226,
Automotive,15,Goodyear Tire,Dunlop; Kelly,,,http://www.goodyear.com/cfmx/web/corporate/contact/contact_form.cfm?name=Customer%20Assistance,1252,1226,X
Automotive,15,Harley-Davidson,Buell; Dyna,414-343-4056,,,1211,1226,X
Automotive,0,Pep Boys,,800-737-2697,,,52308,1226,X
Banking & Finance,100,American Express,,800-528-4800,,,1095,1220,
Banking & Finance,100,Ameriprise,IDS; J.W. Seligman & Co.; RiverSource,,,,52044,1220,
Banking & Finance,100,Bank of America*,Bank of America Home Loans; Merrill Lynch Wealth Management; U.S. Trust,,,https://www3.bankofamerica.com/contact/?lob=general&contact_returnto=http%3A%2F%2Fwww.bankofamerica.com%2Fcontact%2F%3Fstatecheck%3DDC%26page%3D&state,1141,1220,
Banking & Finance,100,Bank of New York Mellon,Dreyfus; Pershing,,,https://www.bnymellon.com/contact/index.cfm,1152,1220,
Banking & Finance,100,Barclays Capital,,,,,35455,1220,
Banking & Finance,100,Capital One,,,,,1366,1220,
Banking & Finance,100,Charles Schwab,,888-403-9000,,,1051,1220,
