OrgID,IndustryDesc,2010 Org Official Name,CEI Brands,2007 Brands,BG Category 2010,2008 Brands,2010 CEI Rating,BG Common Name,BG Brand Name - 2010,rpt2010BuyersGuideDataPullAllCo.OrgOfficialName,2010 DB PullBrands,New to Buyers Guide,Newly Rated 2010 CEI,National Corp Partner,Notes
1258,Retail and Consumer Products,Ann Taylor Stores,,,Apparel & Accessories,,?,Ann Taylor,Ann Taylor LOFT,Ann Taylor LOFT,,x,,,
4904,Insurance,Berkshire Hathaway Inc.,,,Apparel & Accessories,,?,Berkshire Hathaway,"Fruit of the Loom; JERZEES; Russell Athletics, Spalding",,,,,,
52172,Retail and Consumer Products,"Bon-Ton Stores, Inc.",,,Apparel & Accessories,,?,Bon-Ton Stores,Carson Pirie Scott; Elder-Beerman,Carson Pirie Scott; Elder-Beerman,,x,,,
52181,Retail and Consumer Products,Burlington Coat Factory Warehouse Corp.,,,Apparel & Accessories,,?,Burlington Coat Factory,,,,x,,,
54860,Retail and Consumer Products,Chico's FAS,,,Apparel & Accessories,,?,Chico's,Soma; White House/Black Market,Soma; White House/Black Market,,x,,,
43045,Retail and Consumer Products,Coach Inc.,,,Apparel & Accessories,,?,Coach,,,,x,,,
1020,Retail and Consumer Products,Foot Locker,,,Apparel & Accessories,,?,Foot Locker,Champs Sports; Eastbay; Footaction,,,,,,
1220,"Apparel, Fashion, Textiles, Dept. Stores",Lillian Vernon Corp.,,,Apparel & Accessories,,?,Lillian Vernon ,,,,,,,
35548,Retail and Consumer Products,"Neiman Marcus Group, Inc.",,,Apparel & Accessories,,?,Neiman Marcus,Bergdorf Goodman,Bergdorf Goodman,Kate Spade,x,,,
52311,"Apparel, Fashion, Textiles, Dept. Stores",Phillips-Van Heusen Corporation,,,Apparel & Accessories,,?,Phillips-Van Heusen,Arrow; Bass; Calvin Klein; IZOD,Arrow; Bass; Calvin Klein; IZOD,,x,,,
35625,"Apparel, Fashion, Textiles, Dept. Stores",Polo Ralph Lauren Corp.,,,Apparel & Accessories,,?,Polo Ralph Lauren,Club Monaco; Rugby,Club Monaco; Rugby,,x,,,
52498,"Apparel, Fashion, Textiles, Dept. Stores",Quiksilver Inc.,,,Apparel & Accessories,,?,Quiksilver,DC Shoes; Hawk; Leilani,DC Shoes; Hawk; Leilani,,x,,,
35535,Retail and Consumer Products,Ross Stores,,,Apparel & Accessories,,?,Ross Stores,,,,,,,
14639,Retail and Consumer Products,Saks Incorporated,,,Apparel & Accessories,,?,Saks ,Off 5th; Saks Fifth Avenue,Off 5th; Saks Fifth Avenue,,x,,,
973,"Apparel, Fashion, Textiles, Dept. Stores",VF Corp.,20X; Bulwark; Eagle Creek; Eastpak; H.I.S.;JanSport; John Varvatos; Kipling;Lee; Lee Sport; Lucy; Majestic; Napapijri; Nautica; Red Kap; Reef; Riders; Rustler; Seven for all Mankind;The Force; The North Face; Vans; Wrangler Jeans,,Apparel & Accessories,,?,VF ,Eagle Creek; Eastpak; JanSport; John Varvatos; Lee; Nautica; The North Face; Seven for all Mankind;Vans; Wrangler Jeans,,,,,,
52397,"Apparel, Fashion, Textiles, Dept. Stores","Warnaco Group, Inc.",,,Apparel & Accessories,,?,Warnaco Group,Olga; Warners,Olga; Warners,,x,,,
5013,Retail and Consumer Products,Abercrombie & Fitch Co.,Abercrombie & Fitch; abercrombie; Hollister; RUEHL; Gilly Hicks,Hollister; Ruehl,Apparel & Accessories,abercrombie; Hollister; Ruehl,100,Abercrombie & Fitch,Gilly Hicks; Hollister; RUEHL,Abercrombie & Fitch Co.,Abercrombie & Fitch; abercrombie; Hollister; RUEHL; Gilly Hicks,,,,
